CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	START	CAPI	MINDATE	MINDATE_SHLI
DIC	CTCP Đầu tư và Thương mại DIC	Dic Investment And Trading Jsc	HSX	Industrials	2006/11/22	3200000	2006/12/28		1	32,000,000,000	2006/12/28	3200000
DID	CTCP Dic Đồng Tiến	Dic- Dong Tien Jsc	HNX	Industrials	2009/12/10	2434200	2009/12/10			24,342,000,000	2009/12/10	2434200
DIG	Tổng CTCP Đầu tư Phát triển Xây dựng	Development Investment Construction JCC	HSX	Financials	2009/08/12	60000000	2009/08/19		1	600,000,000,000	2009/08/19	60000000
DIH	CTCP Đầu tư Phát triển Xây dựng - Hội An	Development Investment Construction Hoi An Jsc	HNX	Industrials	2011/02/22	2984942	2011/04/27		1	29,849,420,000	2011/04/27	2984942
DL1	CTCP Đầu tư phát triển dịch vụ công trình công cộng Đức Long Gia Lai	Duc Long Gia Lai Investment And Development Of Public Project Service Jsc	HNX	Industrials	2010/03/10	1500000	2010/03/10			15,000,000,000	2010/03/10	1500000
DLC	QL và XD đường bộ 26	Can Tho Tourist Jsc	UPC	Consumer Services	2011/05/11	4780080	2011/05/11			47,800,800,000	2011/05/11	4780080
DLD	Du lịch Cần Thơ	Dak Lak Tourist Jsc	UPC	Consumer Services	2011/04/08	9307415	2011/04/08			93,074,150,000	2011/04/08	9307415
DLG	CTCP tập đoàn Đức Long Gia Lai	Duc Long Gia Lai Group Jsc. 	HSX	Basic Materials	2010/06/14	29100000	2010/06/22		1	291,000,000,000	2010/06/22	29100000
DLR	CTCP Địa ốc Đà Lạt	Dalat Real Estate Jsc	HNX	Financials	2010/05/20	4500000	2010/05/20			45,000,000,000	2010/05/20	4500000
DLV	Du lịch Việt Nam Vitours	Viet Namtourism - Vitours Jsc	UPC	Consumer Services	2010/11/02	2910000	2010/02/11		1	29,100,000,000	2010/11/02	2910000
DMC	CTCP Xuất nhập khẩu y tế DOMESCO	Domesco Medical Import Export JCC	HSX	Health Care	2006/04/12	10700000	2006/12/25		1	107,000,000,000	2006/12/25	10700000
DNC	CTCP Điện nước lắp máy Hải Phòng	Haiphong Electricity Water Machine Assembly Jsc	HNX	Utilities	2009/12/23	1605095	2009/12/23			16,050,950,000	2009/12/23	1605095
DNF	Lương thực Đà Nẵng	Da Nang Food Jsc	UPC	Consumer Goods	2010/09/06	5000000	2010/09/06			50,000,000,000	2010/09/06	5000000
DNL	Du lịch Đắk Lắk	Dang Nang Logistics Jsc	UPC	Industrials	2011/08/18	3000000	2011/08/18			30,000,000,000	2011/08/18	3000000
DNM	Tổng CTCP Y tế DANAMECO	Danameco Medical JCC	HNX	Health Care	2011/02/16	2411510	2011/02/16			24,115,100,000	2011/02/16	2411510
DNP	CTCP Nhựa Đồng Nai	Dongnai Plastic Construction Jsc	HNX	Industrials	2006/12/20	2000000	2006/12/20			20,000,000,000	2006/12/20	2000000
DNS	Thép Đà Nẵng	Da Nang Steel Jsc	UPC	Basic Materials	2010/04/05	5953747	2010/04/05			59,537,470,000	2010/04/05	5953747
DNT	Du lịch Đồng Nai	Dong Nai Tourist Jsc	UPC	Consumer Services	2009/08/14	5032700	2009/08/14			50,327,000,000	2009/08/14	5032700
DNY	CTCP Thép DANA - Ý	Dana-Y Steel Jsc	HNX	Basic Materials	2010/05/11	15000000	2010/05/11			150,000,000,000	2010/05/11	15000000
DPC	CTCP Nhựa Đà Nẵng	Da Nang Plastic Jsc	HNX	Industrials	2001/11/23	1587280	2001/11/28		1	15,872,800,000	2001/11/28	1587280
DPM	Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP	PetroVietnam Fertilizer and Chemicals Corp	HSX	Basic Materials	2007/10/29	380000000	2007/11/05		1	3,800,000,000,000	2007/11/05	380000000
DPP	Dược Đồng Nai	Dong Nai Pharmaceutical Jsc	UPC	Health Care	2010/05/19	1985447	2010/05/19			19,854,470,000	2010/05/19	1985447
DPR	CTCP Cao su Đồng Phú	Dong Phu Rubber Jsc	HSX	Basic Materials	2007/11/22	40000000	2007/11/30		1	400,000,000,000	2007/11/30	40000000
DQC	CTCP Bóng đèn Điện Quang	Dien Quang Jsc	HSX	Consumer Goods	2008/02/14	15434000	2008/02/21		1	154,340,000,000	2008/02/21	15434000
DRC	CTCP Cao su Đà Nẵng	Danang Rubber Jsc	HSX	Consumer Goods	2006/11/28	9247500	2006/12/29		1	92,475,000,000	2006/12/29	9247500
DRH	CTCP Đầu tư Căn Nhà Mơ Ước	Dream House Investment Corporation. 	HSX	Financials	2010/07/13	14990000	2010/07/26		1	149,900,000,000	2010/07/26	14990000
DRL	CTCP Thủy Điện - Điện lực 3	Hydro Power Jsc - Power No.3	HSX	Utilities	2012/03/30	9500000	2012/04/11		1	95,000,000,000	2012/04/11	9500000
DSN	CTCP công viên nước Đầm Sen	Dam Sen Water Park Corporation	HSX	Consumer Services	2010/09/17	8450000	2010/10/26		1	84,500,000,000	2010/10/26	8450000
DST	CTCP Sách và Thiết bị Giáo dục Nam Định	Nam Dinh Educational Book And Equipment Jsc	HNX	Consumer Services	2007/10/16	1000000	2007/10/16			10,000,000,000	2007/10/16	1000000
DTA	CTCP Đệ Tam	De Tam Jsc. 	HSX	Financials	2010/06/30	10000000	2010/07/16		1	100,000,000,000	2010/07/16	10000000
DTC	CTCP Viglacera Đông Triều	Viglacera Dong Trieu Jsc	HNX	Industrials	2006/12/25	500000	2006/12/25			5,000,000,000	2006/12/25	500000
DTL	CTCP Đại Thiên Lộc	Dai Thien Loc Corporation.	HSX	Basic Materials	2010/05/28	38800000	2010/06/04		1	388,000,000,000	2010/06/04	38800000
DTT	CTCP Kỹ nghệ Đô Thành	Do Thanh Technology Corporation	HSX	Basic Materials	2006/12/06	2000000	2006/12/22		1	20,000,000,000	2006/12/22	2000000
DTV	PT điện Nông thôn Trà Vinh	Tra Vinh Rural Electric Development JCC	UPC	Utilities	2010/09/09	5280000	2010/09/09			52,800,000,000	2010/09/09	5280000
DVD	CTCP Dược phẩm Viễn Đông	Vien Dong Pharmaceutical Jsc	HSX	Health Care	2009/12/22	8910000	2009/12/22			89,100,000,000	2009/12/22	8910000
DVH	Chế tạo máy điện VN - Hungari	Vietnam - Hungari Electric Machinery Manufacturing Jsc	UPC	Industrials	2010/11/02	4350000	2010/11/02			43,500,000,000	2010/11/02	4350000
DVP	CTCP Đầu tư và Phát triển Cảng Đình Vũ	Dinh Vu Port Investment & Development Jsc	HSX	Industrials	2009/11/24	20000000	2009/12/01		1	200,000,000,000	2009/12/01	20000000
DXG	CTCP Dịch vụ và Xây dựng Địa ốc Đất Xanh	Dat Xanh Real Estate Service & Constructions Corporation. 	HSX	Financials	2009/12/14	8000000	2009/12/22		1	80,000,000,000	2009/12/22	8000000
DXL	Du lịch & XNK Lạng Sơn	Lang Son Tourism & Import - Export Jsc	UPC	Consumer Services	2010/06/28	2689000	2010/06/28			26,890,000,000	2010/06/28	2689000
DXP	CTCP Cảng Đoạn Xá	Doan Xa Port Jsc	HNX	Industrials	2005/12/26	3500000	2005/12/26			35,000,000,000	2005/12/26	3500000
DXV	CTCP Vicem Vật liệu Xây dựng Đà Nẵng	Da Nang Contruction Building Materials And Cement Jsc	HSX	Industrials	2008/01/24	9900000	2008/02/26		1	99,000,000,000	2008/02/26	9900000
DZM	CTCP Chế tạo Máy Dzĩ An	Dzi An Manufacturing Public Limited Company	HNX	Industrials	2009/06/11	2500000	2009/06/11			25,000,000,000	2009/06/11	2500000
EBS	CTCP Sách Giáo dục tại Tp.Hà Nội	Educational Book Jsc In Hanoi City	HNX	Consumer Services	2006/12/21	1000000	2006/12/21			10,000,000,000	2006/12/21	1000000
ECI	CTCP Bản đồ và Tranh ảnh Giáo dục	Education Cartography And Illustration Jsc	HNX	Consumer Services	2009/06/16	1860000	2009/06/16			18,600,000,000	2009/06/16	1860000
EFI	CTCP Đầu tư tài chính giáo dục	Education Financial Investment Jsc	HNX	Financials	2009/09/30	3570000	2009/09/30			35,700,000,000	2009/09/30	3570000
EIB	Ngân hàng Thương mại Cổ phần Xuất nhập khẩu Việt Nam	Vietnam Export Import Commercial Joint Stock Bank	HSX	Banks	2009/10/20	876226900	2009/10/27		1	8,762,269,000,000	2009/10/27	876226900
EID	CTCP Đầu tư và Phát triển Giáo dục Hà Nội	Hanoi Education Development And Investment Jsc	HNX	Consumer Services	2009/08/11	8000000	2009/08/11			80,000,000,000	2009/08/11	8000000
ELC	CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông	Electronics Communications Technology Investment Development Corporation	HSX	Technology	2010/10/05	22125000	2010/10/13		1	221,250,000,000	2010/10/13	22125000
EVE	CTCP Everpia Việt Nam	Everpia Vietnam Jsc	HSX	Consumer Goods	2010/11/30	15327996	2010/12/17		1	153,279,960,000	2010/12/17	15327996
FBA	CTCP Tập đoàn Quốc tế FBA	Fba International Group Corporation	UPC	Consumer Goods	2011/02/18	3414900	2011/02/18			34,149,000,000	2011/02/18	3414900
FBT	CTCP Xuất nhập khẩu Lâm Thủy sản Bến Tre	Bentre Forestry And Aquaproduct Import Export Jsc	HSX	Consumer Goods	2007/12/27	15000000	2008/01/14		1	150,000,000,000	2008/01/14	15000000
FCN	CTCP Kỹ Thuật Nền Móng và Công trình Ngầm Fecon	FECON Foundation Engineering and Underground Construction Jsc	HSX	Industrials	2012/07/18	13805162	2012/07/24		1	138,051,620,000	2012/07/24	13805162
FDC	CTCP ngoại thương và phát triển đầu tư Thành phố Hồ Chí Minh	Foreign Trade Development And Investment Corporation Of Hochiminh City. 	HSX	Financials	2009/12/25	14297699	2010/01/18		1	142,976,990,000	2010/01/18	14297699
FDG	CTCP DOCIMEXCO	Dong Thap Trading Corporation	HSX	Consumer Goods	2011/02/22	13200000	2011/04/20		1	132,000,000,000	2011/04/20	13200000
FDT	CTCP Fiditourist	Tan Dinh Fiditourist Travel Jsc	HNX	Consumer Services	2011/09/12	3054500	2011/09/12			30,545,000,000	2011/09/12	3054500
FLC	CTCP Tập đoàn FLC	Flc Group Jsc 	HNX	Financials	2011/10/05	10000000	2011/10/05			100,000,000,000	2011/10/05	10000000
FMC	CTCP Thực phẩm Sao Ta	Sao Ta Foods Jsc	HSX	Consumer Goods	2006/10/20	6000000	2006/12/07		1	60,000,000,000	2006/12/07	6000000
FPC	CTCP Full Power	Full Power Jsc	HSX	Industrials	2006/07/06	1914611	2006/07/25		1	19,146,110,000	2006/07/25	1914611
FPT	CTCP FPT	Fpt Corporation	HSX	Technology	2006/11/21	60810230	2006/12/13		1	608,102,300,000	2006/12/13	60810230
GAS	Tổng Công ty Khí Việt Nam - CTCP	PetroVietnam Gas JCC	HSX	Utilities	2012/04/27	1895000000	2012/05/21		1	18,950,000,000,000	2012/05/21	1895000000
GBS	CTCP Chứng khoán Golden Bridge Việt Nam	Click&Phone Securities Jsc	HNX	Financials	2010/10/11	13500000	2010/10/11			135,000,000,000	2010/10/11	13500000
GDT	CTCP Chế biến Gỗ Đức Thành	Duc Thanh Wood Processing Jsc	HSX	Consumer Goods	2009/11/03	10372365	2009/11/17		1	103,723,650,000	2009/11/17	10372365
GDW	Cấp nước Gia Định	Gia Dinh Water Supply Jsc	UPC	Utilities	2010/06/15	9500000	2010/06/15			95,000,000,000	2010/06/15	9500000
GER	Thể thao Ngôi sao Geru	Geru Star Sport Jsc	UPC	Basic Materials	2010/06/01	2200000	2010/06/01			22,000,000,000	2010/06/01	2200000
GFC	CTCP Thủy sản Gentraco	Gentraco Feed Jsc	HNX	Consumer Goods	2011/04/21	8080000	2011/04/21			80,800,000,000	2011/04/21	8080000
GGG	CTCP Ô tô Giải Phóng	Giaiphong Motor Jsc	HNX	Consumer Goods	2009/10/12	6450000	2009/10/12			64,500,000,000	2009/10/12	6450000
GHA	CTCP HAPACO Hải Âu	Hai Au Paper Jsc	HNX	Basic Materials	2005/07/14	1289480	2005/07/14			12,894,800,000	2005/07/14	1289480
GHC	Tập đoàn Quốc tế FBA	Gia Lai Hydropower Jsc	UPC	Utilities	2011/04/26	10000000	2011/04/26			100,000,000,000	2011/04/26	10000000
GIL	CTCP Sản xuất Kinh doanh Xuất nhập khẩu Bình Thạnh	Binh Thanh Import Export Production And Trade Jsc	HSX	Consumer Goods	2001/12/28	2550000	2002/01/02		1	25,500,000,000	2002/01/02	2550000
GLT	CTCP Kỹ thuật Điện Toàn Cầu	Global Electrical Technology Corporation	HNX	Consumer Goods	2009/11/26	6375779	2009/11/26			63,757,790,000	2009/11/26	6375779
GMC	CTCP Sản xuất Thương mại May Sài Gòn	Sai Gon Garment Manufacturing Trade Jsc	HSX	Consumer Goods	2006/12/06	2275000	2006/12/22		1	22,750,000,000	2006/12/22	2275000
GMD	CTCP Đại lý Liên hiệp Vận chuyển	Gemadept Corporation	HSX	Industrials	2002/03/08	17178455	2002/04/22		1	171,784,550,000	2002/04/22	17178455
GMX	CTCP Gạch Ngói Gốm Xây Dựng Mỹ Xuân	My Xuan Brick Tile Pottery And Construction Jsc	HNX	Industrials	2011/09/15	5320694	2011/09/15			53,206,940,000	2011/09/15	5320694
GSP	CTCP Vận tải Sản phẩm Khí Quốc tế	International Gas Product Shipping Jsc	HSX	Industrials	2011/12/20	30000000	2012/03/09		1	300,000,000,000	2012/03/09	30000000
GTA	CTCP Chế biến gỗ Thuận An	Thuan An Wood Processing Jsc	HSX	Basic Materials	2007/07/04	8407750	2007/07/23		1	84,077,500,000	2007/07/23	8407750
GTH	XD-GT Thừa Thiên Huế	Thua Thien Hue Contruction - Transporation Jsc	UPC	Industrials	2009/10/28	1900000	2009/10/28			19,000,000,000	2009/10/28	1900000
GTT	CTCP Thuận Thảo	Thuan Thao Corporation. 	HSX	Consumer Services	2010/06/24	29002000	2010/06/30		1	290,020,000,000	2010/06/30	29002000
H11	Thủy điện Gia Lai	Hud101 Construction Jsc	UPC	Industrials	2011/04/28	1060000	2011/04/28			10,600,000,000	2011/04/28	1060000
HAD	CTCP Bia Hà Nội - Hải Dương	Hanoi – Hai Duong Beer Jsc	HNX	Consumer Goods	2009/10/27	4000000	2009/10/27			40,000,000,000	2009/10/27	4000000
HAG	CTCP Hoàng Anh Gia Lai	Hagl Jsc	HSX	Financials	2008/12/15	179814501	2008/12/22		1	1,798,145,010,000	2008/12/22	179814501
HAI	CTCP Nông Dược Hai	H.A.I Jsc	HSX	Basic Materials	2006/12/27	11400000	2006/12/27			114,000,000,000	2006/12/27	11400000
HAP	CTCP Tập đoàn Hapaco	Hapaco Group Jsc	HSX	Basic Materials	2000/08/02	1008000	2000/08/04		1	10,080,000,000	2000/08/04	1008000
HAS	CTCP HACISCO.	Ha Noi P&T Construction & Installation Jsc	HSX	Industrials	2002/12/18	1200000	2002/12/19		1	12,000,000,000	2002/12/19	1200000
HAT	CTCP Thương mại Bia Hà Nội	Hanoi Beer Trading Jsc	HNX	Consumer Goods	2010/10/29	3123000	2010/10/29			31,230,000,000	2010/10/29	3123000
HAX	CTCP Dịch vụ Ô tô Hàng Xanh	Hang Xanh Motors Service Jsc	HSX	Consumer Goods	2006/12/13	1625730	2006/12/26		1	16,257,300,000	2006/12/26	1625730
HBB	Ngân hàng TMCP Nhà Hà Nội	Hanoi Building Commercial Joint Stock Bank	HNX	Banks	2010/11/23	300000000	2010/11/23			3,000,000,000,000	2010/11/23	300000000
HBC	CTCP Xây dựng và Kinh doanh Địa ốc Hòa Bình	Hoa Binh Construction & Real Estate Corporation	HSX	Industrials	2006/11/22	5639990	2006/12/27		1	56,399,900,000	2006/12/27	5639990
HBD	CTCP Bao bì PP Bình Dương	Binh Duong Pp Pack Making Jsc	HNX	Industrials	2006/12/29	1535000	2006/12/29			15,350,000,000	2006/12/29	1535000
HBE	CTCP Sách - Thiết bị Trường học Hà Tĩnh	Ha Tinh Book And Educational Equipment Jsc	HNX	Consumer Services	2008/02/22	1000000	2008/02/22			10,000,000,000	2008/02/22	1000000
HBS	CTCP Chứng khoán Hòa Bình	Hoa Binh Securities Jsc	HNX	Financials	2010/07/16	30000000	2010/07/16			300,000,000,000	2010/07/16	30000000
HCC	CTCP Bê tông Hoà Cầm - Intimex	Hoa Cam Concrete Jsc	HNX	Industrials	2007/12/24	1622802	2007/12/24			16,228,020,000	2007/12/24	1622802
HCI	Đầu tư - XD Hà Nội	Ha Noi Construction Investment Jsc	UPC	Industrials	2010/09/17	4360000	2010/09/17			43,600,000,000	2010/09/17	4360000
HCM	CTCP Chứng khoán Thành phố Hồ Chí Minh	Ho Chi Minh City Securities Corporation	HSX	Financials	2009/04/20	39463400	2009/05/19		1	394,634,000,000	2009/05/19	39463400
HCT	CTCP Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng	Hai Phong Cement Transport & Trading Jsc	HNX	Industrials	2007/11/27	1041558	2007/11/27			10,415,580,000	2007/11/27	1041558
HDA	CTCP Hãng sơn Đông Á	Dong A Paint Jsc	HNX	Industrials	2010/12/27	2200000	2010/12/27			22,000,000,000	2010/12/27	2200000
HDC	CTCP Phát triển nhà Bà Rịa – Vũng Tàu	Ba Ria – Vung Tau House Development Jsc	HSX	Financials	2007/09/25	8128000	2007/10/08		1	81,280,000,000	2007/10/08	8128000
HDG	CTCP Tập đoàn Hà Đô	Ha Do Group Jsc	HSX	Financials	2010/01/19	13500000	2010/02/02		1	135,000,000,000	2010/02/02	13500000
HDM	Dệt - May Huế	Hue Textile Garment Jsc	UPC	Consumer Goods	2010/01/21	3000000	2010/01/21			30,000,000,000	2010/01/21	3000000
HDO	CTCP HƯNG ĐẠO CONTAINER	Hung Dao Container Jsc	HNX	Industrials	2010/06/17	4304672	2010/06/17			43,046,720,000	2009/11/11	4304672
HEV	CTCP Sách Đại học - Dạy nghề	Higher Educational And Vocational Book	HNX	Consumer Services	2007/12/11	1000000	2007/12/11			10,000,000,000	2007/12/11	1000000
HFC	Xăng dầu Chất đốt Hà Nội	Hanoi Petrol Fuel Jsc	UPC	Utilities	2010/03/01	2100000	2010/03/01			21,000,000,000	2010/03/01	2100000
HFX	Lưới thép Bình Tây	Thanh Ha Export - Import Company	UPC	Consumer Services	2011/11/10	1270000	2011/11/10			12,700,000,000	2011/11/10	1270000
HGM	CTCP Cơ khí và Khoáng sản Hà Giang	Ha Giang Mineral And Mechanics Jsc	HNX	Basic Materials	2009/12/21	6000000	2009/12/21			60,000,000,000	2009/12/21	6000000
HHC	CTCP Bánh kẹo Hải Hà	Haiha Confectionery Jsc	HNX	Consumer Goods	2007/11/20	5475000	2007/11/20			54,750,000,000	2007/11/20	5475000
HHG	CTCP Hoàng Hà	Hoangha Jsc	HNX	Industrials	2010/07/28	13600000	2010/07/28			136,000,000,000	2010/07/28	13600000
HHL	CTCP Hồng Hà Long An	Hong Ha Long An Jsc	HNX	Industrials	2010/01/08	2748270	2010/01/08			27,482,700,000	2010/01/08	2748270
HHS	CTCP Đầu tư Dịch vụ Hoàng Huy	Hoang Huy Investment Services Jsc 	HSX	Consumer Goods	2011/12/13	10000000	2012/02/15		1	100,000,000,000	2012/02/15	10000000
HIG	Tập Đoàn HIPT	Hipt Group Jsc	UPC	Technology	2009/06/24	9609062	2009/06/24			96,090,620,000	2009/06/24	9609062
HJS	CTCP Thuỷ điện Nậm Mu	Nam Mu Hydropower Jsc	HNX	Utilities	2006/12/20	6000000	2006/12/20			60,000,000,000	2006/12/20	6000000
HLA	CTCP Hữu Liên Á Châu	Huu Lien Asia Corporation	HSX	Basic Materials	2008/10/23	19000000	2008/10/30		1	190,000,000,000	2008/10/30	19000000
HLC	CTCP Than Hà Lầm - TKV	Halam - Tkv Coal Jsc	HNX	Basic Materials	2009/03/05	9300000	2009/03/05			93,000,000,000	2009/03/05	9300000
HLG	CTCP Tập đoàn Hoàng Long	Hoang Long Group	HSX	Consumer Goods	2009/09/01	28768711	2009/09/09		1	287,687,110,000	2009/09/09	28768711
HLY	CTCP Viglacera Hạ Long I	Viglacera Ha Long I Jsc	HNX	Industrials	2006/12/25	500000	2006/12/25			5,000,000,000	2006/12/25	500000
HMC	CTCP Kim khí Thành phố Hồ Chí Minh	Ho Chi Minh City Metal Corporation	HSX	Basic Materials	2006/11/28	15800000	2006/12/21		1	158,000,000,000	2006/12/21	15800000
HMH	CTCP Hải Minh	Hai Minh Corporation	HNX	Industrials	2010/07/28	5438790	2010/07/28			54,387,900,000	2010/07/28	5438790
HNM	CTCP Sữa Hà Nội	Hanoimilk Jsc	HNX	Consumer Goods	2006/12/27	7049500	2006/12/27			70,495,000,000	2006/12/27	7049500
HOM	CTCP Xi măng VICEM Hoàng Mai	Hoang Mai Cement Jsc	HNX	Industrials	2009/07/09	72000000	2009/07/09			720,000,000,000	2009/07/09	72000000
HOT	CTCP Du lịch Dịch vụ Hội An	Hoi An Torurist Service Joint Stock	HSX	Consumer Services	2011/07/13	8000000	2011/07/21		1	80,000,000,000	2011/07/21	8000000
HPB	CTCP Bao bì PP	Pp Pack Marking Jsc	HNX	Industrials	2010/04/29	3880000	2010/04/29			38,800,000,000	2010/04/29	3880000
HPC	CTCP Chứng khoán Hải Phòng	Haiphong Securities Jsc	HNX	Financials	2006/12/15	5000000	2006/12/15			50,000,000,000	2006/12/15	5000000
HPG	CTCP Tập đoàn Hòa Phát	Hoa Phat Group Jsc	HSX	Basic Materials	2007/10/31	132000000	2007/11/15		1	1,320,000,000,000	2007/11/15	132000000
HPL	Bến xe Tàu phà Cần Thơ	Can Tho Ferry - Bridge Standage Jsc	UPC	Industrials	2010/01/26	2000000	2010/01/26			20,000,000,000	2010/01/26	2000000
HPP	Sơn Hải Phòng	Hai Phong Paint Jsc	UPC	Industrials	2010/08/05	5900000	2010/08/05			59,000,000,000	2010/08/05	5900000
HPR	CTCP Đầu tư Xây dựng Hồng Phát	Hong Phat Construction Investment Jsc	HNX	Industrials	2011/05/12	4800000	2011/05/12			48,000,000,000	2011/05/12	4800000
HPS	CTCP Đá Xây dựng Hoà Phát	Hoa Phat Construction Stone Jsc	HNX	Industrials	2006/12/25	1565250	2006/12/25			15,652,500,000	2006/12/25	1565250
HPT	DV Công nghệ Tin học HPT	Hpt Viet Nam Corporation	UPC	Technology	2010/06/17	5989299	2010/06/17			59,892,990,000	2010/06/17	5989299
HQC	CTCP Tư vấn – Thương mại – Dịch vụ Địa ốc Hoàng Quân	Hoang Quan Consulting – Trading – Service Real Estate Corporation 	HSX	Financials	2010/10/12	40000000	2010/10/20		1	400,000,000,000	2010/10/20	40000000
HRC	CTCP Cao su Hòa Bình	Hoa Binh Rubber Jsc	HSX	Basic Materials	2006/11/22	9600000	2006/12/26		1	96,000,000,000	2006/12/26	9600000
HSG	CTCP Tập đoàn Hoa Sen	Hoa Sen Group	HSX	Basic Materials	2008/11/05	57038500	2008/12/05		1	570,385,000,000	2008/12/05	57038500
HSI	CTCP Vật tư Tổng hợp và Phân bón Hóa sinh	General Materials Biochemistry Fertilizer Jsc 	HSX	Basic Materials	2007/12/12	10000000	2007/12/21		1	100,000,000,000	2007/12/21	10000000
HST	CTCP Phát hành sách và Thiết bị trường học Hưng Yên	Hung Yen Book Publishing And Educational Equipment Jsc	HNX	Consumer Services	2009/12/29	1500000	2009/12/29			15,000,000,000	2009/12/29	1500000
HT1	CTCP Xi măng Hà Tiên 1	Ha Tien 1 Cement Jsc	HSX	Industrials	2007/10/31	87000000	2007/11/13		1	870,000,000,000	2007/11/13	87000000
HTB	CTCP Xây dựng Huy Thắng	Huy Thang Construction Jsc	HNX	Industrials	2010/10/19	1800000	2010/10/19			18,000,000,000	2010/10/19	1800000
HTC	CTCP Thương mại Hóc Môn	Hocmon Trade Jsc	HNX	Utilities	2010/05/07	3500000	2010/05/07			35,000,000,000	2010/05/07	3500000
HTI	CTCP Đầu tư Phát triển Hạ tầng IDICO	Idico Infrastructure Development Investment Jsc	HSX	Industrials	2010/12/09	24949200	2010/12/20		1	249,492,000,000	2010/12/20	24949200
HTL	CTCP Kỹ thuật và Ô tô Trường Long	Truong Long Engineering And Auto Jsc	HSX	Consumer Goods	2010/10/19	8000000	2011/01/10		1	80,000,000,000	2011/01/10	8000000
HTP	CTCP In sách Giáo khoa Hoà Phát	Hoaphat Textbook Printing Jsc	HNX	Consumer Services	2006/12/14	900000	2006/12/14			9,000,000,000	2006/12/14	900000
HTV	CTCP Vận tải Hà Tiên	Ha Tien Transport Jsc 	HSX	Industrials	2005/12/07	4800000	2006/01/05		1	48,000,000,000	2006/01/05	4800000
HU1	CTCP đầu tư và xây dựng HUD1	Hud1 Investment & Construction Jsc	HSX	Industrials	2011/10/20	10000000	2011/11/03		1	100,000,000,000	2010/05/25	5000000
HU3	CTCP đầu tư và xây dựng HUD3	Hud3 Investment And Construction Jsc	HSX	Industrials	2011/03/02	9999944	2011/03/18		1	99,999,440,000	2011/03/18	9999944
HUT	CTCP Tasco	Tasco Jsc	HNX	Industrials	2008/04/04	5500000	2008/04/11		1	55,000,000,000	2008/04/11	5500000
HVC	Chế biến lâm sản Hưng Vượng	Prosper Jsc	UPC	Basic Materials	2010/10/27	6920750	2010/10/27			69,207,500,000	2010/10/27	6920750
HVG	CTCP Hùng Vương	Hung Vuong Corporation	HSX	Consumer Goods	2009/11/16	59999993	2009/11/25		1	599,999,930,000	2009/11/25	59999993
HVT	CTCP Hóa Chất Việt Trì	Viet Tri Chemicals Jsc	HNX	Basic Materials	2009/05/08	4438713	2009/05/08			44,387,130,000	2009/05/08	4438713
HVX	CTCP xi măng Vicem Hải Vân	Hai Van Cement Jsc	HSX	Industrials	2010/08/31	15500000	2010/09/28		1	155,000,000,000	2010/09/28	15500000
I40	Xây dựng HUD101	40 Investment And Construction Jsc	UPC	Industrials	2011/03/15	1539120	2011/03/15			15,391,200,000	2011/03/15	1539120
ICF	CTCP Đầu tư Thương mại Thủy sản	Investment Commerce Fisheries Corporation	HSX	Consumer Goods	2006/12/18	11800000	2006/12/18			118,000,000,000	2006/12/18	11800000
ICG	CTCP Xây dựng Sông Hồng	Song Hong Construction Jsc	HNX	Industrials	2009/04/21	15000000	2009/04/21			150,000,000,000	2009/04/21	15000000
ICI	Đầu tư và XD Công nghiệp	Industrial Construction & Investment Jsc	UPC	Industrials	2010/07/06	3000000	2010/07/06			30,000,000,000	2010/07/06	3000000
IDI	CTCP Đầu tư và Phát triển Đa Quốc Gia	International Development & Investment Corporation 	HSX	Consumer Goods	2011/05/17	38000000	2011/06/30		1	380,000,000,000	2011/06/30	38000000
IDJ	CTCP Đầu tư Tài chính Quốc tế và Phát triển Doanh nghiệp IDJ	Idj International Financial Investment And Enterprise	HNX	Financials	2010/09/13	32600000	2010/09/13			326,000,000,000	2010/09/13	32600000
IDV	CTCP Phát triển hạ tầng Vĩnh Phúc	Vinh Phuc Infrastructure Development Jsc	HNX	Financials	2010/06/01	3528500	2010/06/01			35,285,000,000	2010/06/01	3528500
IFS	CTCP Thực phẩm Quốc tế	Interfood Shareholding Company	HSX	Consumer Goods	2006/09/29	5729472	2006/10/17		1	57,294,720,000	2006/10/17	5729472
IHK	In Hàng Không	Aviation Printing Jsc	UPC	Consumer Services	2010/03/04	1700000	2010/03/04			17,000,000,000	2010/03/04	1700000
IJC	CTCP Phát triển Hạ tầng Kỹ thuật	Becamex Infrastructure Development Jsc. 	HSX	Financials	2010/04/05	54838905	2010/04/19		1	548,389,050,000	2010/04/19	54838905
ILC	CTCP Hợp tác Lao động với Nước ngoài	International Labor And Services Jsc	HNX	Industrials	2005/12/26	600000	2005/12/26			6,000,000,000	2005/12/26	600000
IME	Xây lắp Công nghiệp	Mechanical & Industrial Construction Jsc	UPC	Industrials	2009/12/01	3000000	2009/12/01			30,000,000,000	2009/12/01	3000000
