ticker	yyyymmdd	exc_pref	exc_pcei	exc_pflr	exc_popn	exc_pcls	exc_phgh	exc_plow	exc_pbase	exc_pvlm	exc_ptrn	exc_capi
UNI	20121024	8300	8800	7800	8000	8100	8200	7900	8000	34500	277070	75875744000
V12	20121024	4700	5000	4400	4700	4600	4800	4600	4700	3000	14180	27344600000
V15	20121024	2600	2700	2500	2500	2500	2600	2500	2600	5600	14010	26000000000
V21	20121024	7500	8000	7000	0	0	0	0	7500	0	0	12750000000
VAT	20121024	5000	5300	4700	0	0	0	0	5000	0	0	5660000000
VBC	20121024	14600	15600	13600	0	0	0	0	14600	0	0	43799839400
VBH	20121024	9300	9900	8700	9900	8700	9900	8700	8700	600	5340	25230000000
VC1	20121024	15000	16000	14000	15300	15300	16000	15300	15300	3000	47300	110224260000
VC2	20121024	9700	10300	9100	9400	9600	9600	9100	9400	1800	16830	111526337600
VC3	20121024	11300	12000	10600	10600	10600	10600	10600	10600	100	1060	84098280000
VC5	20121024	4800	5100	4500	4800	4600	4800	4600	4600	3000	14200	23000000000
VC6	20121024	6500	6900	6100	0	0	0	0	6500	0	0	52000000000
VC7	20121024	4300	4600	4000	4400	4300	4400	4000	4200	300	1270	31500000000
VC9	20121024	5800	6200	5400	5800	5800	5800	5800	5800	9700	56260	67832160000
VCC	20121024	8000	8500	7500	8200	8200	8200	8200	8200	1500	12300	49200000000
VCG	20121024	7300	7800	6800	7400	7200	7400	7100	7200	228300	1648400	3180316845600
VCH	20121024	1500	1600	1400	0	0	0	0	1500	0	0	6000000000
VCM	20121024	10100	10800	9400	9500	10400	10400	9500	10200	400	4070	30600000000
VCR	20121024	2900	3100	2700	2700	2900	2900	2700	2900	2100	5690	102196000000
VCS	20121024	9400	10000	8800	9200	9200	9200	9200	9200	6000	55200	487593109200
VCV	20121024	2900	3100	2700	2700	2700	2700	2700	2700	300	810	29719394100
VDL	20121024	35800	38300	33300	38200	38200	38200	38200	38200	100	3820	119521688000
VDS	20121024	3900	4100	3700	4000	4000	4000	4000	4000	200	800	139919948000
VE1	20121024	2800	2900	2700	2700	2900	2900	2700	2800	1000	2800	8207584000
VE2	20121024	7100	7500	6700	0	0	0	0	7100	0	0	14896368000
VE3	20121024	5300	5600	5000	0	0	0	0	5300	0	0	6994463000
VE4	20121024	10500	11200	9800	9800	9800	9800	9800	9800	100	980	10074400000
VE8	20121024	5000	5300	4700	4700	4700	4700	4700	4700	100	470	8460000000
VE9	20121024	5600	5900	5300	5500	5500	5600	5300	5500	10200	55060	39600484000
VFR	20121024	6300	6700	5900	6200	6300	6300	6200	6300	4700	29380	94500000000
VGP	20121024	12100	12900	11300	12100	12100	12100	12100	12100	800	9680	95729416200
VGS	20121024	4000	4200	3800	3900	4000	4000	3800	3900	177600	692220	140412909000
VHH	20121024	2400	2500	2300	2500	2500	2500	2500	2500	22700	56750	15000000000
VHL	20121024	16300	17400	15200	15200	15200	15200	15200	15200	2000	30400	136800000000
VIE	20121024	3800	4000	3600	0	0	0	0	3800	0	0	5932727200
VIG	20121024	1700	1800	1600	1700	1700	1700	1700	1700	20000	34000	58025760000
VIT	20121024	4100	4300	3900	4000	4000	4000	4000	4000	10000	40000	39600000000
VIX	20121024	8000	8500	7500	7700	7900	7900	7500	7900	1200	9150	237000000000
VKC	20121024	5100	5400	4800	5100	5200	5200	5000	5200	176900	902090	67600000000
VLA	20121024	8900	9500	8300	9000	9000	9000	9000	9000	800	7200	9027000000
VMC	20121024	11700	12500	10900	0	0	0	0	11700	0	0	76050000000
VNC	20121024	13500	14400	12600	0	0	0	0	13500	0	0	105803550000
VND	20121024	8800	9400	8200	8800	8600	8800	8600	8600	910700	7889050	859779289600
VNF	20121024	29500	31500	27500	0	0	0	0	29500	0	0	164742750000
VNR	20121024	13500	14400	12600	14000	14000	14000	14000	14000	500	7000	1411587212000
VNT	20121024	15600	16600	14600	0	0	0	0	15600	0	0	84498960000
VPC	20121024	2500	2600	2400	2500	2600	2600	2400	2400	7300	17800	13500000000
VTC	20121024	2800	2900	2700	2700	2800	2800	2700	2800	400	1090	12681600400
VTL	20121024	29900	31900	27900	0	0	0	0	29900	0	0	53820000000
VTS	20121024	14500	15500	13500	0	0	0	0	14500	0	0	29000000000
VTV	20121024	7100	7500	6700	7200	7500	7500	7200	7300	5200	37890	113880000000
VXB	20121024	7200	7700	6700	0	0	0	0	7200	0	0	29152843200
WCS	20121024	41800	44700	38900	43400	40800	43400	38900	40800	300	12310	102000000000
WSS	20121024	3800	4000	3600	3800	3800	3800	3700	3700	58600	220830	186110000000
XMC	20121024	6000	6400	5600	6000	6000	6000	6000	6000	5000	30000	119978880000
YBC	20121024	11200	11900	10500	0	0	0	0	11200	0	0	53890032000
